symbol,description,path,trade_mode,digits,spread,trade_contract_size,trade_currency,quote_currency,margin_currency,is_visible
ADBE.NAS,Adobe Systems CFD,Stock CFD's\Nasdaq\ADBE.NAS,3,3,0,1.0,USD,USD,USD,False
ADI.NAS,Analog Devices CFD,Stock CFD's\Nasdaq\ADI.NAS,4,3,0,1.0,USD,USD,USD,False
ADP.NAS,Automatic Data Processing (ADP) CFD,Stock CFD's\Nasdaq\ADP.NAS,4,3,0,1.0,USD,USD,USD,False
AMAT.NAS,Applied Materials CFD,Stock CFD's\Nasdaq\AMAT.NAS,4,3,0,1.0,USD,USD,USD,False
AMGN.NAS,Amgen CFD,Stock CFD's\Nasdaq\AMGN.NAS,4,3,0,1.0,USD,USD,USD,False
AMZN.NAS,Amazon.com CFD,Stock CFD's\Nasdaq\AMZN.NAS,4,3,0,1.0,USD,USD,USD,False
AVGO.NAS,Broadcom Ltd CFD,Stock CFD's\Nasdaq\AVGO.NAS,4,3,0,1.0,USD,USD,USD,False
BKNG.NAS,Booking Holdings Inc CFD,Stock CFD's\Nasdaq\BKNG.NAS,4,2,0,1.0,USD,USD,USD,False
BIIB.NAS,Biogen Inc CFD,Stock CFD's\Nasdaq\BIIB.NAS,4,3,0,1.0,USD,USD,USD,False
CELG.NAS,Celgene Corp CFD,Stock CFD's\Nasdaq\CELG.NAS,4,2,0,1.0,USD,USD,USD,False
CHTR.NAS,Charter Communications Inc CFD,Stock CFD's\Nasdaq\CHTR.NAS,4,2,0,1.0,USD,USD,USD,False
CMCSA.NAS,Comcast Corp A CFD,Stock CFD's\Nasdaq\CMCSA.NAS,4,2,0,1.0,USD,USD,USD,False
CME.NAS,CME Group CFD,Stock CFD's\Nasdaq\CME.NAS,4,2,0,1.0,USD,USD,USD,False
COST.NAS,Costco Wholesale CFD,Stock CFD's\Nasdaq\COST.NAS,4,2,0,1.0,USD,USD,USD,False
CRON.NAS,Cronos Group Inc CFD,Stock CFD's\Nasdaq\CRON.NAS,3,2,0,1.0,USD,USD,USD,False
CSCO.NAS,Cisco Systems CFD,Stock CFD's\Nasdaq\CSCO.NAS,4,2,0,1.0,USD,USD,USD,False
CSX.NAS,CSX Corp CFD,Stock CFD's\Nasdaq\CSX.NAS,4,3,0,1.0,USD,USD,USD,False
CTSH.NAS,Cognizant Technology Solutions CFD,Stock CFD's\Nasdaq\CTSH.NAS,4,2,0,1.0,USD,USD,USD,False
EA.NAS,Electronic Arts CFD,Stock CFD's\Nasdaq\EA.NAS,4,2,0,1.0,USD,USD,USD,False
EBAY.NAS,Ebay CFD,Stock CFD's\Nasdaq\EBAY.NAS,4,2,0,1.0,USD,USD,USD,False
EQIX.NAS,Equinix CFD,Stock CFD's\Nasdaq\EQIX.NAS,4,2,0,1.0,USD,USD,USD,False
FOX.NAS,Fox Corp - Class B CFD,Stock CFD's\Nasdaq\FOX.NAS,4,2,0,1.0,USD,USD,USD,False
FOXA.NAS,Fox Corp - Class A CFD,Stock CFD's\Nasdaq\FOXA.NAS,4,2,0,1.0,USD,USD,USD,False
GILD.NAS,Gilead Sciences CFD,Stock CFD's\Nasdaq\GILD.NAS,4,2,0,1.0,USD,USD,USD,False
GOOG.NAS,Alphabet Inc C CFD,Stock CFD's\Nasdaq\GOOG.NAS,4,2,0,1.0,USD,USD,USD,False
