ticket,order,symbol,type,volume,price,profit,swap,commission,time
1066277916,1305025752,AUDCAD,0,0.01,0.91817,-0.42,0.0,0.0,2025-11-06 16:55:44
1066273992,1305021094,USDCHF,1,0.01,0.80877,0.0,0.0,0.0,2025-11-06 16:51:12
1066268478,1305014551,GBPCAD,1,0.01,1.84129,0.0,0.0,0.0,2025-11-06 16:46:51
1066265200,1305010177,GBPJPY,1,0.01,200.899,-0.85,0.0,0.0,2025-11-06 16:43:39
1066264811,1305009722,USDCHF,0,0.01,0.80881,0.64,0.0,0.0,2025-11-06 16:43:17
1066264325,1305009131,EURCHF,1,0.01,0.93093,0.0,0.0,0.0,2025-11-06 16:42:49
1066264215,1305009009,AUDNZD,0,0.01,1.15084,0.0,0.0,0.0,2025-11-06 16:42:45
1066263474,1305008094,EURJPY,0,0.01,177.055,0.0,0.0,0.0,2025-11-06 16:42:09
1066258764,1305003051,GBPUSD,0,0.01,1.30652,0.0,0.0,0.0,2025-11-06 16:39:48
1066255428,1304999368,NZDCHF,0,0.01,0.45763,0.56,0.0,0.0,2025-11-06 16:37:25
1066254856,1304998798,AUDNZD,1,0.01,1.15077,0.5,0.0,0.0,2025-11-06 16:37:10
1066253238,1304996948,EURJPY,1,0.01,177.074,-0.76,0.0,0.0,2025-11-06 16:35:59
1066245711,1304988530,EURGBP,0,0.01,0.88098,0.0,0.0,0.0,2025-11-06 16:30:36
1066245033,1304987702,EURCHF,1,0.01,0.93122,-0.42,0.0,0.0,2025-11-06 16:30:08
1066243387,1304985564,USDCAD,0,0.01,1.4098,0.31,0.0,0.0,2025-11-06 16:29:16
1066240979,1304982905,USDJPY,1,0.01,153.893,0.0,0.0,0.0,2025-11-06 16:27:28
1066231941,1304972895,EURGBP,1,0.01,0.88097,-0.39,0.0,0.0,2025-11-06 16:22:16
1066209706,1304948939,GBPCAD,0,0.01,1.84132,-0.52,0.0,0.0,2025-11-06 16:14:22
1066209110,1304948287,EURUSD,0,0.01,1.15097,0.0,0.0,0.0,2025-11-06 16:13:54
1066208915,1304948044,GBPUSD,0,0.01,1.30583,-0.56,0.0,0.0,2025-11-06 16:13:39
1066202624,1304940746,USDCHF,1,0.01,0.80933,0.0,0.0,0.0,2025-11-06 16:08:25
1066200272,1304937990,EURCHF,0,0.01,0.93156,0.0,0.0,0.0,2025-11-06 16:06:34
1066190848,1304926857,EURCHF,1,0.01,0.93128,-0.32,0.0,0.0,2025-11-06 16:01:04
1066189946,1304925918,GBPCAD,1,0.01,1.84058,0.0,0.0,0.0,2025-11-06 16:01:00
1066188433,1304924304,USDCHF,1,0.01,0.80944,-0.44,0.0,0.0,2025-11-06 16:00:35
1066186982,1304922805,USDCAD,1,0.01,1.41024,0.0,0.0,0.0,2025-11-06 16:00:21
1066182699,1304917242,GBPUSD,1,0.01,1.30527,0.0,0.0,0.0,2025-11-06 15:58:57
1066182568,1304917099,USDCHF,0,0.01,0.8098,0.0,0.0,0.0,2025-11-06 15:58:49
1066181697,1304916145,GBPUSD,1,0.01,1.30538,-0.54,0.0,0.0,2025-11-06 15:58:12
1066171294,1304904882,EURAUD,0,0.01,1.76802,0.0,0.0,0.0,2025-11-06 15:51:52
1066166084,1304899179,EURJPY,0,0.01,177.191,0.0,0.0,0.0,2025-11-06 15:48:15
1066162946,1304895495,GBPUSD,0,0.01,1.30592,0.0,0.0,0.0,2025-11-06 15:46:16
1066157825,1304889846,GBPUSD,1,0.01,1.30575,-0.52,0.0,0.0,2025-11-06 15:42:38
1066157566,1304889571,NZDCHF,1,0.01,0.45808,0.0,0.0,0.0,2025-11-06 15:42:14
1066156274,1304888144,EURGBP,0,0.01,0.88127,0.0,0.0,0.0,2025-11-06 15:40:42
1066155681,1304887556,AUDCAD,1,0.01,0.91758,0.0,0.0,0.0,2025-11-06 15:40:12
1066153070,1304884454,EURCHF,0,0.01,0.93154,0.0,0.0,0.0,2025-11-06 15:37:43
1066152573,1304883924,GBPUSD,0,0.01,1.30627,0.0,0.0,0.0,2025-11-06 15:37:09
1066151461,1304882744,NZDCAD,1,0.01,0.798,0.0,0.0,0.0,2025-11-06 15:36:11
1066150604,1304881818,AUDJPY,0,0.01,100.164,0.0,0.0,0.0,2025-11-06 15:35:13
1066150069,1304881175,AUDCHF,0,0.01,0.52676,0.0,0.0,0.0,2025-11-06 15:34:39
1066149664,1304880745,AUDNZD,0,0.01,1.14989,0.0,0.0,0.0,2025-11-06 15:34:11
1066149596,1304880669,AUDUSD,0,0.01,0.65088,0.0,0.0,0.0,2025-11-06 15:34:07
1066147551,1304878434,GBPJPY,0,0.01,201.03,0.0,0.0,0.0,2025-11-06 15:32:12
1066143816,1304874149,GBPNZD,0,0.01,2.30779,0.0,0.0,0.0,2025-11-06 15:29:10
1066143602,1304873927,NZDUSD,1,0.01,0.56599,0.0,0.0,0.0,2025-11-06 15:29:06
1066143128,1304873367,EURNZD,0,0.01,2.03346,0.0,0.0,0.0,2025-11-06 15:28:39
1066143116,1304873352,NZDJPY,1,0.01,87.109,0.0,0.0,0.0,2025-11-06 15:28:38
1066141486,1304871516,XAUGBP,1,0.01,3053.6,2.48,0.0,0.0,2025-11-06 15:27:14
1066141476,1304871506,XAUGBP,1,0.01,3053.6,2.17,0.0,0.0,2025-11-06 15:27:13
1066141475,1304871505,XAUGBP,1,0.01,3053.6,0.0,0.0,0.0,2025-11-06 15:27:13
1066141474,1304871504,XAUEUR,1,0.01,3465.16,0.58,0.0,0.0,2025-11-06 15:27:13
